Date,Tank,Day,N,Component,Timepoint,Treatment,Secondary,Length,Width,Area,Notes
20160326,16,Day10,1,Exp1,Initial,Low,None,7.023,4.362,23.88,
20160408,11,Day23,1,Exp1,Initial,Medium,None,8.934,2.852,32.706,bad angle
20160408,11,Day23,1,Exp1,Initial,Medium,None,8.763,5.594,39.931,
20160408,11,Day23,1,Exp1,Initial,Medium,None,6.608,4.54,21.9,
20160408,11,Day23,1,Exp1,Initial,Medium,None,NA,NA,NA,bad angle
20160408,11,Day23,1,Exp1,Initial,Medium,None,7.262,3.695,20.881,
20160408,11,Day23,1,Exp1,Initial,Medium,None,NA,NA,NA,bad angle
20160408,11,Day23,1,Exp1,Initial,Medium,None,6.604,4.593,23.715,
20160408,11,Day23,1,Exp1,Initial,Medium,None,NA,NA,NA,bad angle
20160408,12,Day23,1,Exp1,Initial,Low,None,8.46,5.482,33.544,
20160408,12,Day23,1,Exp1,Initial,Low,None,8.356,4.169,25.855,
20160408,12,Day23,1,Exp1,Initial,Low,None,7.884,4.659,31.066,
20160408,12,Day23,1,Exp1,Initial,Low,None,8.948,5.984,43.597,
20160408,12,Day23,1,Exp1,Initial,Low,None,8.385,5.653,34.527,
20160408,12,Day23,1,Exp1,Initial,Low,None,6.306,4.244,21.261,
20160408,12,Day23,1,Exp1,Initial,Low,None,9.003,5.983,37.31,
20160408,12,Day23,1,Exp1,Initial,Low,None,7.56,4.182,24.747,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,8.172,4.602,27.475,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,8.066,5.454,34.605,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,9.112,4.989,36.952,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,8.955,5.225,39.881,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,7.955,4.497,27.535,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,11.098,6.296,54.414,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,9.372,5.956,42.005,
20160408,13,Day23,1,Exp1,Initial,Ambient,None,8.459,4.362,28.28,
20160408,14,Day23,1,Exp1,Initial,Medium,None,8.513,5.563,34.629,
20160408,14,Day23,1,Exp1,Initial,Medium,None,7.787,5.466,30.07,
20160408,14,Day23,1,Exp1,Initial,Medium,None,7.549,3.989,23.413,
20160408,14,Day23,1,Exp1,Initial,Medium,None,10.508,7.277,60.254,
20160408,14,Day23,1,Exp1,Initial,Medium,None,7.426,4.647,28.445,
20160408,14,Day23,1,Exp1,Initial,Medium,None,8.369,5.52,35.837,
20160408,14,Day23,1,Exp1,Initial,Medium,None,8.354,5.398,35.218,
20160408,14,Day23,1,Exp1,Initial,Medium,None,7.568,4.898,28.019,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,8.707,5.214,36.104,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,8.348,5.641,39.731,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,10.097,6.698,53.371,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,9.191,5.6,42.765,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,8.703,5.138,34.52,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,9.979,6.272,50.75,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,9.271,5.894,41.663,
20160408,15,Day23,1,Exp1,Initial,Ambient,None,9.503,5.77,41.009,
20160408,16,Day23,1,Exp1,Initial,Low,None,8.277,5.403,34.083,
20160408,16,Day23,1,Exp1,Initial,Low,None,8.06,4.219,24.619,
20160408,16,Day23,1,Exp1,Initial,Low,None,7.717,5.112,33.268,
20160408,16,Day23,1,Exp1,Initial,Low,None,7.73,4.341,26.372,
20160408,16,Day23,1,Exp1,Initial,Low,None,7.346,5.142,29.847,
20160408,16,Day23,1,Exp1,Initial,Low,None,8.124,5.234,33.243,
20160408,16,Day23,1,Exp1,Initial,Low,None,9.164,5.406,39.853,
20160408,16,Day23,1,Exp1,Initial,Low,None,8.273,4.848,30.715,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,12.129,7.937,72.058,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,13.1,8.765,91.15,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,9.779,5.596,43.38,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,12.024,7.181,70.925,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,13.711,8.136,88.099,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,9.898,6.186,46.234,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,11.411,7.83,72.953,
20160506,11,Day51,1,Common.Garden,Initial,Medium,None,11.914,7.801,71.495,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,12.499,7.644,74.475,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,10.767,6.924,56.775,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,12.031,6.969,63.503,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,9.243,6.838,45.09,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,13.035,8.572,86.369,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,12.321,7.99,82.314,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,11.359,6.67,57.779,
20160506,12,Day51,1,Common.Garden,Initial,Low,None,12.747,7.551,76.786,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,11.756,7.518,65.43,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,12.207,7.562,71.995,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,12.604,8.007,82.029,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,13.747,8.514,94.826,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,13.389,9.256,107.189,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,9.337,5.624,39.392,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,11.773,7.185,67.506,
20160506,13,Day51,1,Common.Garden,Initial,Ambient,None,12.512,8.203,81.567,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,13.221,9.201,99.019,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,11.506,7.864,67.267,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,13.312,8.201,85.461,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,11.692,7.386,70.533,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,13.153,8.564,91.613,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,11.592,6.8,61.915,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,13.143,7.941,82.412,
20160506,14,Day51,1,Common.Garden,Initial,Medium,None,13.518,9.25,94.154,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,13.587,8.516,90.499,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,9.278,6.257,45.382,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,12.988,8.684,85.765,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,11.012,7.487,64.737,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,11.552,7.884,74.288,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,12.98,8.314,89.912,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,10.869,6.838,56.366,
20160506,15,Day51,1,Common.Garden,Initial,Ambient,None,12.536,8.309,81.066,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,12.457,8.014,83.534,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,13.017,7.557,76.291,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,11.335,6.469,57.12,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,10.573,7.003,57.499,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,13.345,9.022,96.171,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,13.131,9.346,93.722,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,12.637,7.209,70.109,
20160506,16,Day51,1,Common.Garden,Initial,Low,None,11.554,7.359,64.17,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.691,9.072,103.627,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,15.895,10.701,126.027,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,11.365,7.208,66.467,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.169,7.94,85.502,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,16.5,10.527,131.886,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.312,8.784,100.53,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,12.771,7.999,78.611,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.693,10.681,125.302,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.848,9.039,99.027,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.416,8.661,86.42,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.919,8.995,98.572,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,12.685,8.398,83.05,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,12.204,8.37,75.91,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,11.731,7.601,68.193,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,9.133,5.897,40.163,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.489,10.095,113.274,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.175,8.229,92.077,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,15.03,9.257,114.245,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.978,9.127,102.394,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,12.737,8.529,84.746,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,15.231,9.959,122.138,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.139,8.829,98.907,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,9.774,6.45,49.907,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.194,8.04,84.673,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,11.512,7.937,74.261,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.401,9.816,112.192,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,13.603,8.901,99.223,
20160729,Ambient,Day135,1,Common.Garden,Initial,Ambient,None,14.961,9.351,110.11,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.258,8.954,87.769,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.063,8.165,88.501,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,16.14,9.673,127.876,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.327,10.001,113.577,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.121,9.653,118.853,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.081,9.12,113.646,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.483,9.286,98.089,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.968,8.27,93.257,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,10.76,7.106,59.007,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.96,8.539,91.138,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.287,8.542,89.658,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.859,9.245,97.893,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.38,8.249,84.265,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.103,8.547,109.811,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.075,8.16,83.382,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,16.542,11.157,147.013,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,11.996,8.133,74.747,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.846,9.45,98.08,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.088,9.767,116.118,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.908,9.817,112.877,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.443,8.151,198.037,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.1,9.046,102.596,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.106,8.538,85.792,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.655,9.249,107.732,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.448,9.363,105.29,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.914,9.82,123.339,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,16.468,11.318,141.058,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.702,8.904,98.694,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.756,8.143,81.189,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.342,8.012,85.357,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.902,10.269,124.515,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.643,8.929,99.082,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.829,8.882,98.764,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,16.379,11.284,151.236,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.581,9.389,108.319,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.006,13.396,123.353,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.14,8.733,80.69,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.043,10.235,116.998,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.237,8.824,99.46,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.967,10.623,125.163,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.636,8.298,82.803,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,15.871,10.759,134.931,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.658,9.566,120.406,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,16.236,10.84,137.169,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.537,8.588,100.07,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.508,8.605,93.541,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,16.985,10.846,147.654,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,14.699,8.867,99.95,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.147,8.286,85.159,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.193,9.005,87.423,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.685,7.742,77.274,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,12.655,8.679,89.929,
20160729,Low,Day135,1,Common.Garden,Initial,Medium,None,13.515,8.549,90.311,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.025,9.349,97.554,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.091,8.783,109.293,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.144,8.419,86.326,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,16.588,9.956,132.963,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.317,9.51,110.356,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,16.278,10.675,137.582,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.458,9.126,96.586,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.462,8.084,80.899,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.997,9.667,123.282,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.438,8.806,97.031,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,16.529,11.455,145.543,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.291,9.111,109.832,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.911,9.297,101.963,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.413,8.385,86.791,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.666,10.638,130.527,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.295,9.57,97.386,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,11.769,7.497,66.37,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,11.134,7.689,66.785,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,16.777,11.529,158.025,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,10.246,6.857,58.848,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.799,8.882,90.498,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.428,9.386,106.324,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.277,8.137,84.056,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.996,9.645,102.347,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.264,9.018,93.835,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.863,8.483,83.562,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.394,9.752,118.994,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.898,8.884,100.127,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.459,7.77,74.781,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.025,7.803,86.92,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,11.087,8.037,73.631,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.593,11.97,138.916,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.315,9.376,104.968,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.629,8.691,92.044,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.368,9.98,112.161,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.498,10.007,127.576,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,15.187,9.353,107.025,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.413,9.012,109.022,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.81,9.813,107.575,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.577,9.519,97.45,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.834,8.368,81.792,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.482,8.516,91.792,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.932,9.099,88.542,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,14.747,9.417,108.774,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.085,8.179,83.566,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.055,8.307,76.679,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.128,9.007,92.644,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.302,9.061,96.37,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.954,9.473,113.374,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.224,8.505,87.58,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.449,8.518,90.549,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.889,8.724,88.282,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,13.596,9.009,92.678,
20160729,Super.Low,Day135,1,Common.Garden,Initial,Low,None,12.864,7.523,79.936,
20160808,Bin1,Day145,1,Exp2,Reexposure,Medium,Ambient,15.021,9.527,109.813,
20160808,Bin1,Day145,1,Exp2,Reexposure,Medium,Ambient,16.783,10.365,134.998,
20160808,Bin1,Day145,1,Exp2,Reexposure,Medium,Ambient,14.928,9.221,113.788,
20160808,Bin1,Day145,1,Exp2,Reexposure,Medium,Ambient,14.221,9.285,109.323,
20160808,Bin1,Day145,1,Exp2,Reexposure,Medium,Ambient,13.895,7.912,83.702,
20160808,Bin1,Day145,1,Exp2,Reexposure,Medium,Ambient,14.005,9.222,106.075,
20160808,Bin2,Day145,1,Exp2,Reexposure,Ambient,Ambient,15.699,9.326,123.274,
20160808,Bin2,Day145,1,Exp2,Reexposure,Ambient,Ambient,15.78,11.468,132.425,
20160808,Bin2,Day145,1,Exp2,Reexposure,Ambient,Ambient,12.39,8.327,81.038,
20160808,Bin3,Day145,1,Exp2,Reexposure,Ambient,Ambient,14.77,9.817,119.975,
20160808,Bin3,Day145,1,Exp2,Reexposure,Ambient,Ambient,13.912,9.178,98.916,
20160808,Bin3,Day145,1,Exp2,Reexposure,Ambient,Ambient,15.471,11.341,139.376,
20160808,Bin4,Day145,1,Exp2,Reexposure,Low,Ambient,12.372,7.703,74.048,
20160808,Bin4,Day145,1,Exp2,Reexposure,Low,Ambient,14.537,9.608,109.17,
20160808,Bin4,Day145,1,Exp2,Reexposure,Low,Ambient,13.698,9.068,100.518,
20160808,Bin4,Day145,1,Exp2,Reexposure,Low,Ambient,13.007,8.227,86.264,
20160808,Bin4,Day145,1,Exp2,Reexposure,Low,Ambient,13.539,7.871,90.325,
20160808,Bin4,Day145,1,Exp2,Reexposure,Low,Ambient,13.824,8.61,100.25,
20160808,Bin5,Day145,1,Exp2,Reexposure,Medium,Ambient,15.582,11.067,140.798,
20160808,Bin5,Day145,1,Exp2,Reexposure,Medium,Ambient,11.958,7.916,73.906,
20160808,Bin5,Day145,1,Exp2,Reexposure,Medium,Ambient,11.306,7.778,69.108,
20160808,Bin5,Day145,1,Exp2,Reexposure,Medium,Ambient,12.735,7.996,80.489,
20160808,Bin5,Day145,1,Exp2,Reexposure,Medium,Ambient,13.241,8.179,91.144,
20160808,Bin5,Day145,1,Exp2,Reexposure,Medium,Ambient,12.601,8.402,82.329,
20160808,Bin6,Day145,1,Exp2,Reexposure,Low,Ambient,11.638,7.513,73.227,
20160808,Bin6,Day145,1,Exp2,Reexposure,Low,Ambient,13.895,8.459,96.178,
20160808,Bin6,Day145,1,Exp2,Reexposure,Low,Ambient,12.76,8.213,81.814,
20160808,Bin6,Day145,1,Exp2,Reexposure,Low,Ambient,11.894,7.629,73.859,
20160808,Bin6,Day145,1,Exp2,Reexposure,Low,Ambient,14.416,9.402,109.311,
