Date,EPI.Tube.Num,Tank,Treatment,TimePoint,Homogenization,DNA.Extraction,DNA.QC,DNA.Conc.ng.µl,DNA.vol.µl,DNA.amount.µg,vol for 100ng,lambda.0.5%,Water.µl,NSBuffer2.µl,MSPI.µl
8-Aug-16,EPI_208,Bin8,Low-Low,Day145,20160906,20161007,20161010,31,140,4.34,3.2,1,21.8,3,1
8-Aug-16,EPI_209,Bin8,Low-Low,Day145,20160906,20161007,20161010,22,140,3.08,4.5,1,20.5,3,1
8-Aug-16,EPI_214,Bin9,Super.Low-Low,Day145,20160906,20161004,20161006,13.3,140,1.862,7.5,1,17.5,3,1
8-Aug-16,EPI_215,Bin9,Super.Low-Low,Day145,20160906,20161004,20161006,22.6,140,3.164,4.4,1,20.6,3,1
8-Aug-16,EPI_220,Bin10,Super.Low-Low,Day145,20160906,20160930,Pass,48.8,190,9.272,2,1,23,3,1
8-Aug-16,EPI_221,Bin10,Super.Low-Low,Day145,20160906,20160930,Pass,30,190,5.7,3.3,1,21.7,3,1
8-Aug-16,EPI_226,Bin11,Ambient-Low,Day145,20160902,20161007,20161010,13.1,140,1.834,7.6,1,17.4,3,1
8-Aug-16,EPI_227,Bin11,Ambient-Low,Day145,20160902,20161007,20161010,31.6,140,4.424,3.2,1,21.8,3,1
8-Aug-16,EPI_229,Bin12,Low-Low,Day145,20160902,20160930,Pass,17.4,190,3.306,5.7,1,19.3,3,1
8-Aug-16,EPI_230,Bin12,Low-Low,Day145,20160902,20160930,Pass,10.1,190,1.919,9.9,1,15.1,3,1
21-Aug-16,EPI_235,Bin1,Low-Ambient,Day158,20160902,20161004,20161006,10.6,140,1.484,9.4,1,15.6,3,1
21-Aug-16,EPI_236,Bin1,Low-Ambient,Day158,20160902,20161004,20161006,8.66,140,1.2124,11.5,1,13.5,3,1
21-Aug-16,EPI_242,Bin2,Ambient-Ambient,Day158,20160902,20161028,20161028,15.5,140,2.17,6.5,1,18.5,3,1
21-Aug-16,EPI_243,Bin2,Ambient-Ambient,Day158,20160902,20161028,20161028,17.2,140,2.408,5.8,1,19.2,3,1
21-Aug-16,EPI_246,Bin3,Ambient-Ambient,Day158,20160902,20161025,20161026,19.4,140,2.716,5.2,1,19.8,3,1
21-Aug-16,EPI_247,Bin3,Ambient-Ambient,Day158,20160902,20161028,20161028,8.23,140,1.1522,12.2,1,12.8,3,1
21-Aug-16,EPI_250,Bin4,Super.Low-Ambient,Day158,20160901,20161025,20161026,28.2,140,3.948,3.5,1,21.5,3,1
21-Aug-16,EPI_251,Bin4,Super.Low-Ambient,Day158,20160901,20161025,20161026,16,140,2.24,6.3,1,18.7,3,1
21-Aug-16,EPI_257,Bin5,Low-Ambient,Day158,20160901,20161004,20161006,15.4,140,2.156,6.5,1,18.5,3,1
21-Aug-16,EPI_258,Bin5,Low-Ambient,Day158,20160901,20161028,20161028,18.8,140,2.632,5.3,1,19.7,3,1
21-Aug-16,EPI_264,Bin6,Super.Low-Ambient,Day158,20160901,20161025,20161026,8.42,140,1.1788,11.9,1,13.1,3,1
21-Aug-16,EPI_265,Bin6,Super.Low-Ambient,Day158,20160901,20161025,20161026,17.5,140,2.45,5.7,1,19.3,3,1
21-Aug-16,EPI_271,Bin7,Ambient-Low,Day158,20160901,20161028,20161028,39.1,140,5.474,2.6,1,22.4,3,1
21-Aug-16,EPI_272,Bin7,Ambient-Low,Day158,20160901,20161028,20161028,105,140,14.7,1,1,24,3,1
21-Aug-16,EPI_275,Bin8,Low-Low,Day158,20160825,20161025,20161026,15,140,2.1,6.7,1,18.3,3,1
21-Aug-16,EPI_276,Bin8,Low-Low,Day158,20160824,20161025,20161026,21,140,2.94,4.8,1,20.2,3,1
21-Aug-16,EPI_282,Bin9,Super.Low-Low,Day158,20160824,20161004,20161006,10.3,140,1.442,9.7,1,15.3,3,1
21-Aug-16,EPI_283,Bin9,Super.Low-Low,Day158,20160824,20161028,20161028,36.6,140,0.77,2.7,1,22.3,3,1
21-Aug-16,EPI_289,Bin10,Super.Low-Low,Day158,20160824,20161025,20161026,13.4,140,1.876,7.5,1,17.5,3,1
21-Aug-16,EPI_290,Bin10,Super.Low-Low,Day158,20160824,20161025,20161026,7.4,140,1.036,13.5,1,11.5,3,1
21-Aug-16,EPI_298,Bin11,Ambient-Low,Day158,20160824,20161028,20161028,79.9,140,11.186,1.3,1,23.7,3,1
21-Aug-16,EPI_299,Bin11,Ambient-Low,Day158,20160824,20161007,20161010,17.6,140,2.464,5.7,1,19.3,3,1
21-Aug-16,EPI_302,Bin12,Low-Low,Day158,20160824,20161004,20161006,32.8,140,4.592,3,1,22,3,1
21-Aug-16,EPI_303,Bin12,Low-Low,Day158,20160824,20161004,20161006,32.4,140,4.536,3.1,1,21.9,3,1
