Date,EPI.Tube.Num,Tank,Treatment,Trial,TimePoint,Contents,Storage,Notes,RNA.QC,RNA.ng/µl,260/280,260/230,Status
21-Aug-16,EPI_255,Bin4,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_256,Bin4,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_266,Bin6,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_267,Bin6,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_268,Bin6,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_269,Bin6,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_270,Bin6,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_284,Bin9,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,536.25,2.01,2.24,
21-Aug-16,EPI_285,Bin9,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_286,Bin9,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_287,Bin9,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_288,Bin9,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_292,Bin10,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_293,Bin10,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_294,Bin10,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_295,Bin10,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_296,Bin10,Super.Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
